station_id,station_name,latitude,longitude,first_used,last_used,latitude_pca,longitude_pca
56,Dudley Square,42.328654,-71.084198,2015-04-22,2016-11-30,0.015694805236343125,0.02534058963338168
57,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,2015-04-17,2016-11-30,0.013578035822935274,0.013096562997898742
58,The Esplanade - Beacon St. at Arlington St.,42.35559600000001,-71.07278000000002,2015-04-12,2016-11-30,0.016184063068916666,-0.0039169344377598765
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.05936700000002,2015-01-09,2016-11-30,0.03020853712554912,-0.005012514847828209
63,Dorchester Ave. at Gillette Park,42.344023,-71.05705400000002,2015-04-17,2016-11-30,0.03510105174354792,0.000919277352907741
64,Congress / Sleeper,42.3511,-71.0496,2015-04-17,2016-11-30,0.039359694116467905,-0.008435401163212604
65,Boston Convention & Exhibition Center,42.3475,-71.0441,2015-04-17,2016-11-30,0.04580799317293878,-0.007158906244172565
66,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,2015-04-15,2016-11-30,-0.03796457605684019,0.025508970846977466
67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2015-01-01,2016-11-30,-0.0036843400427666595,0.0014132904909550904
68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2015-01-01,2016-11-30,-0.015476762440265971,-0.0013379415964792259
69,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,2015-04-21,2016-11-30,-0.025443652769564437,0.028007799579443295
70,Harvard Kennedy School at Bennett St / Eliot St,42.371991654086756,-71.12226963043213,2015-01-01,2016-11-30,-0.0358433092456803,-0.0005712621171529873
71,Conway Park - Somerville Avenue,42.383405,-71.10759300000002,2015-04-14,2016-11-30,-0.026513459519648192,-0.016652986212091558
72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.08410500000002,2015-01-01,2016-11-30,0.003054729794296592,-0.006178465282963276
73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,2015-01-01,2016-11-30,-0.035024963133162,-0.002238811548357501
74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,2015-01-01,2016-11-30,-0.03289995407365576,-0.00313767443947343
75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,2015-01-01,2016-11-30,-0.012532547802864518,-0.000796537822569637
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,2015-01-01,2016-11-30,-0.018205391833467338,-0.0016975839666738218
77,Somerville City Hall,42.386844,-71.09812,2015-04-17,2016-11-30,-0.01901959592964588,-0.02339141766866767
78,Union Square - Somerville,42.379637,-71.09531899999998,2015-04-16,2016-11-30,-0.013721863920559029,-0.0177593234258464
80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,2015-01-01,2016-11-30,-0.004069790209920258,-0.002596691824297808
81,Boylston St / Washington St,42.352409,-71.062679,2015-01-02,2016-11-30,0.02674328575850097,-0.004747588512718609
